;dropped_block;model;n_features_used;val_tp_precision;val_tp_recall;val_tp_f1;val_macro_f1;val_brier;val_bss;val_total_return;val_martin;val_calmar;val_sharpe;val_num_trades;test_tp_precision;test_tp_recall;test_tp_f1;test_macro_f1;test_bss;test_total_return;test_martin;test_calmar;test_sharpe;test_num_trades;val_bnh;test_bnh;mr_fixed
0;atr_levels;gru_cat;96;0.346578366;0.130724396;0.189842805;0.50225197;0.240894063;-0.221127936;2.918533995;-1.702786659;0.294143049;0.33557096;176;0.886;0.028;0.055;0.437;-0.125;13.13;1.69;2.44;1.13;98;29.67760708;27.71757006;0.2
1;core_trend_mom;gru_cat;84;0.425044092;0.200666112;0.272624434;0.545952465;0.232491356;-0.178533362;14.33636821;3.330437922;4.210302892;1.529744448;51;0.775;0.045;0.085;0.452;-0.091;6.70;-5.19;3.46;1.37;14;29.67760708;27.71757006;0.2
2;fractal_regime;gru_cat;79;0.313856427;0.15653622;0.208888889;0.503936257;0.242365327;-0.228585994;2.918533995;-1.702786659;0.294143049;0.33557096;176;0.703;0.019;0.037;0.426;-0.128;8.70;-0.38;1.39;0.77;113;29.67760708;27.71757006;0.2
3;macro_onchain;gru_cat;97;0.373540856;0.399666944;0.38616251;0.573825238;0.228051381;-0.156026466;-2.299767096;-4.32018225;-0.41958096;-0.153574712;63;0.387;0.205;0.268;0.519;-0.081;7.85;-1.63;1.54;1.05;39;29.67760708;27.71757006;0.2
4;patterns_ict;gru_cat;79;0.489119171;0.393005828;0.435826408;0.626963517;0.211796763;-0.073629384;40.27694582;42.09751401;16.22113615;3.190587525;61;0.337;0.197;0.249;0.501;-0.066;9.55;-0.10;2.70;1.25;38;29.67760708;27.71757006;0.2
5;time_pda;gru_cat;93;0.287111111;0.268942548;0.277730009;0.510777173;0.243960735;-0.236673354;2.918533995;-1.702786659;0.294143049;0.33557096;176;0.206;0.092;0.127;0.436;-0.142;15.80;3.15;3.11;1.29;103;29.67760708;27.71757006;0.2
6;volume_vwap_session;gru_cat;96;0.411441144;0.311407161;0.35450237;0.576719741;0.222818228;-0.129498833;19.01406412;12.72754759;9.926321848;1.982124409;47;0.543;0.113;0.188;0.499;-0.042;20.23;43.63;22.01;2.85;19;29.67760708;27.71757006;0.2
;;;104;;;;;;;;;;;;0.435;0.165;0.239;0.515;-0.1025;22.50;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;atr_levels;gru_cat;96;;;;;;;;;;;;0.451;-0.136;-0.184;-0.079;-0.022;-9.368;;;;;;;
;core_trend_mom;gru_cat;84;;;;;;;;;;;;0.340;-0.120;-0.154;-0.063;0.011;-15.797;;;;;;;
;fractal_regime;gru_cat;79;;;;;;;;;;;;0.268;-0.146;-0.202;-0.089;-0.025;-13.804;;;;;;;
;macro_onchain;gru_cat;97;;;;;;;;;;;;-0.048;0.040;0.029;0.004;0.022;-14.645;;;;;;;
;patterns_ict;gru_cat;79;;;;;;;;;;;;-0.098;0.032;0.010;-0.014;0.037;-12.949;;;;;;;
;time_pda;gru_cat;93;;;;;;;;;;;;-0.230;-0.073;-0.112;-0.079;-0.039;-6.697;;;;;;;
;volume_vwap_session;gru_cat;96;;;;;;;;;;;;0.108;-0.051;-0.051;-0.016;0.060;-2.271;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
