tf,es_metric,model_type,hidden_size,dropout,num_layers,window_size,hold,ku,kd,val_mr_star,val_martin,val_total_return,val_num_trades,val_bss_raw,val_macro_f1_raw,test_martin,test_total_return,test_sharpe
1h,brier,gru,384,0.0,1,332,332,3,1.5,0.08,20.214927571473172,31.680062032243473,193,-0.02543954066977694,0.501353505782944,22.036645272384696,24.690734107575384,2.785235024282794
1h,brier,gru,128,0.3,3,332,332,3,1.5,0.08,19.827241112433974,33.556402191518096,197,-0.02190114300179835,0.49337064941490144,1.8887876878395018,13.658282173379499,1.5759632359933369
1h,brier,gru,512,0.1,3,332,332,3,1.5,0.12,19.245105688015414,28.821034390352885,127,-0.000319161436604265,0.5580158296753157,14.046859950767702,18.374841859806356,2.750243054411782
1h,brier,gru,512,0.1,2,332,332,3,1.5,0.09,16.61252259643317,32.68665450343284,161,-0.0032769620885826356,0.5660877552527157,0.30737425441672905,10.135663502258474,1.222046312574444
1h,brier,gru,384,0.1,1,332,332,3,1.5,0.06,14.093244077654493,30.263630635397874,234,-0.02243206388601582,0.49395740823689993,19.26629556555717,40.11771040890113,3.2945674685371316
1h,brier,gru,128,0.5,2,332,332,3,1.5,0.02,13.479701425908347,25.9199426212245,169,0.01939727285516335,0.5055977455892582,-4.983005923440135,-0.41654461086467753,-0.006853134902840272
1h,brier,gru,512,0.3,1,332,332,3,1.5,0.07,10.797576167965836,26.619221500432477,200,-0.02485726503610608,0.5046865830744631,8.0815673925375,20.778126498580708,2.1122000173426563
1h,brier,gru,512,0.0,1,332,332,3,1.5,0.11,10.054275886711867,20.66694993932021,131,-0.03644122403722938,0.5137224834178961,5.798512581765813,12.186471498845087,2.015837464283635
1h,brier,gru,128,0.5,3,332,332,3,1.5,0.09,9.849180835133577,23.987967896492535,154,-0.01898338696098323,0.5349047049651684,13.217127183632893,19.867696829222336,2.736395088091014
1h,brier,gru,128,0.0,1,332,332,3,1.5,0.07,9.411478250450529,19.25791314596048,132,0.03307665693890882,0.5325716566495513,-6.307833328644425,5.033450521508809,1.0723419666332743
1h,brier,gru,256,0.0,3,332,332,3,1.5,0.1,9.077336621120914,25.069807933272827,181,-0.01925988270234602,0.5752675573247523,6.673524301653089,14.828282169342067,2.013395556787989
1h,brier,gru,384,0.0,2,332,332,3,1.5,0.12,8.67337752885971,19.29670657229878,126,-0.007840324720199021,0.5656590612428094,1.1712232090571852,11.174392499183083,1.6458399255151166
1h,brier,gru,256,0.1,3,332,332,3,1.5,0.12,8.311364609777833,22.222092084889745,135,-0.013455005398762987,0.5467867393031998,-2.170536768250911,4.419660682499438,0.7405085743228177
1h,brier,gru,256,0.1,1,332,332,3,1.5,0.07,8.110422608058586,20.56234567423232,213,-0.025603547514241765,0.468287381125144,13.573531001029382,20.680092442163623,2.4733080375146925
1h,brier,gru,512,0.1,1,332,332,3,1.5,0.07,7.974112026912669,22.519956876411683,223,-0.030863576199691156,0.5145760058362598,10.491398649559107,25.786696772176732,2.447485791439982
1h,brier,gru,256,0.0,2,332,332,3,1.5,0.12,7.883081617536333,22.14601746710305,158,-0.02762071921991094,0.5625763004716113,0.7203761682305135,10.715797884244038,1.5487131822809452
1h,brier,gru,256,0.0,1,332,332,3,1.5,0.08,7.85480933886815,24.44949027301979,213,-0.038686767094547436,0.490365752423048,7.6840073259271575,20.49618317921751,1.9654635712105697
1h,brier,gru,384,0.5,1,332,332,3,1.5,0.07,7.703665111961947,21.129850973494936,193,-0.019541243437023015,0.4714620401936518,18.871981476590893,30.693808518187993,2.9767935932967675
1h,brier,gru,512,0.0,3,332,332,3,1.5,0.09,7.570484349948504,22.01960833469292,130,0.005308500005776651,0.5337127431302672,11.16009890011873,14.512544713737153,2.396182917532636
1h,brier,gru,128,0.3,2,332,332,3,1.5,0.04,7.488304556944198,18.97836074546695,124,-0.01810876125177585,0.49925556580298114,-12.247493781253414,1.0199220764089745,0.2623469902512512
1h,brier,gru,384,0.1,3,332,332,3,1.5,0.12,7.133629587819861,20.019170096080785,134,-0.008255843287775955,0.5491922490180448,15.30132631285467,17.566214440555484,2.42283718192125
1h,brier,gru,512,0.5,3,332,332,3,1.5,0.13,6.853767095068616,17.33174427481121,122,-0.018835466262652867,0.5538938973101806,-1.8416715547638225,6.185424426201647,1.1105635316114468
1h,brier,gru,512,0.5,1,332,332,3,1.5,0.06,6.674898680467602,23.566264649187897,225,-0.020712370682275383,0.4765078628802361,7.3361591497677505,24.46749433094675,2.3347725280713125
1h,brier,gru,128,0.1,2,332,332,3,1.5,0.06,5.6844196328944125,20.879592451451966,255,-0.027656433581519035,0.45806531420089064,7.930706148426267,25.770051113112814,2.2733221167608146
1h,brier,gru,256,0.5,3,332,332,3,1.5,0.08,5.6380922161556,18.47138767275489,198,-0.024666697439445384,0.5379480655907055,6.795546953147836,23.089622965654755,2.2932356224343735
1h,brier,gru,512,0.3,3,332,332,3,1.5,0.11,5.173223627557188,15.413879011864706,118,0.0025773290268547022,0.5473211293193996,22.369403931248126,19.891047294829335,3.069524218987493
1h,brier,gru,128,0.5,1,332,332,3,1.5,0.08,4.995199796015087,18.690207957000005,178,-0.026798456290122008,0.5205602897987529,-0.5071534763654071,7.807494671191595,0.8920329927083878
1h,brier,gru,128,0.0,3,332,332,3,1.5,0.1,4.686078254133789,17.98578026546469,122,-0.02062664083117327,0.5037703521633856,-1.6110219475683558,4.16430650072992,0.7053208092449291
1h,brier,gru,384,0.3,1,332,332,3,1.5,0.08,3.9932466150954613,15.18511246221168,164,-0.020878540549639446,0.48067490962245285,14.942122515987768,28.160185680105876,2.9072298995637125
1h,brier,gru,512,0.5,2,332,332,3,1.5,0.1,3.9638044410436675,18.032424437798444,192,-0.03223226621554631,0.5468846035072112,-0.573154768579251,7.582485312628551,0.8598787240330592
1h,brier,gru,512,0.0,2,332,332,3,1.5,0.07,3.7655229461767346,17.525265532438382,173,0.0009701107881235904,0.5544867093748047,-1.5094371465237597,1.7147268143846928,0.2739886433016076
1h,brier,gru,128,0.1,3,332,332,3,1.5,0.09,3.527105253161368,15.41454104587725,127,-0.01551562601766543,0.4904849739620782,-1.2330938869618697,4.730267677668887,0.7550462895923417
1h,brier,gru,256,0.5,2,332,332,3,1.5,0.07,3.3791038942674034,17.980665857988033,238,-0.030605498271554676,0.5031662426585825,7.3931446185908465,28.244274799312596,2.134415088871365
