tf,es_metric,model_type,hidden_size,dropout,num_layers,window_size,hold,ku,kd,val_mr_star,val_martin,val_total_return,val_num_trades,val_bss_raw,val_macro_f1_raw,test_martin,test_total_return,test_sharpe,test_macro_f1_raw,test_brier_raw,test_bss_raw,test_tp_precision_raw,test_tp_recall_raw,test_tp_f1_raw,test_macro_f1_masked,test_brier_masked,test_bss_masked,test_tp_precision_masked,test_tp_recall_masked,test_tp_f1_masked
1h,brier,gru,384,0.0,1,332,332,3,1.5,0.08,20.214927571473172,31.680062032243473,193,-0.02543954066977694,0.501353505782944,22.036645272384696,24.690734107575384,2.785235024282794,0.4288970314355426,,-0.006389201557829516,0.4855072463768116,0.042976266837716486,0.0789628756629346,0.4327405911174215,,-0.004156466104933809,0.4090909090909091,0.03339517625231911,0.061749571183533455
1h,brier,gru,128,0.3,3,332,332,3,1.5,0.08,19.827241112433974,33.556402191518096,197,-0.02190114300179835,0.49337064941490144,1.8887876878395018,13.658282173379499,1.5759632359933369,0.4126027888205925,,-0.008440809854584286,0.7441860465116279,0.02052597819114817,0.039950062421972535,0.4196790909658488,,-0.007944451490389692,0.6666666666666666,0.018018018018018018,0.03508771929824561
1h,brier,gru,512,0.1,3,332,332,3,1.5,0.12,19.245105688015414,28.821034390352885,127,-0.000319161436604265,0.5580158296753157,14.046859950767702,18.374841859806356,2.750243054411782,0.4570384819216445,,-0.0070797225662728724,0.5405405405405406,0.07697241821680564,0.13475575519371139,0.4394866219669434,,0.014395801480844517,0.5609756097560976,0.03417533432392273,0.06442577030812324
1h,brier,gru,512,0.1,2,332,332,3,1.5,0.09,16.61252259643317,32.68665450343284,161,-0.0032769620885826356,0.5660877552527157,0.30737425441672905,10.135663502258474,1.222046312574444,0.4755266647078648,,-0.05818789259957491,0.4328018223234624,0.12187299550994227,0.1901901901901902,0.4428306943164622,,-0.03801410393211002,0.38636363636363635,0.04456094364351245,0.0799059929494712
1h,brier,gru,384,0.1,1,332,332,3,1.5,0.06,14.093244077654493,30.263630635397874,234,-0.02243206388601582,0.49395740823689993,19.26629556555717,40.11771040890113,3.2945674685371316,0.43216228886863967,,-0.005460841532029859,0.4658385093167702,0.04810776138550353,0.0872093023255814,0.4455567796004768,,-0.00909756076377044,0.45098039215686275,0.04771784232365145,0.08630393996247655
1h,brier,gru,128,0.5,2,332,332,3,1.5,0.02,13.479701425908347,25.9199426212245,169,0.01939727285516335,0.5055977455892582,-4.983005923440135,-0.41654461086467753,-0.006853134902840272,0.4056900076842615,,-0.036571617348361896,0.7777777777777778,0.013470173187940988,0.02648171500630517,0.3921596436644801,,-0.03999677234707799,0.5,0.0015420200462606013,0.0030745580322828594
1h,brier,gru,512,0.3,1,332,332,3,1.5,0.07,10.797576167965836,26.619221500432477,200,-0.02485726503610608,0.5046865830744631,8.0815673925375,20.778126498580708,2.1122000173426563,0.4314963045902827,,-0.008301937599084264,0.474025974025974,0.04682488774855677,0.08523058960887332,0.43077121745454183,,-0.0021169496319795034,0.39215686274509803,0.03663003663003663,0.06700167504187605
1h,brier,gru,512,0.0,1,332,332,3,1.5,0.11,10.054275886711867,20.66694993932021,131,-0.03644122403722938,0.5137224834178961,5.798512581765813,12.186471498845087,2.015837464283635,0.43732124998812566,,-0.010206708694573186,0.4748603351955307,0.05452212957023733,0.09781357882623705,0.45133295873134793,,-0.007979575061498156,0.3968253968253968,0.04930966469428008,0.08771929824561404
1h,brier,gru,128,0.5,3,332,332,3,1.5,0.09,9.849180835133577,23.987967896492535,154,-0.01898338696098323,0.5349047049651684,13.217127183632893,19.867696829222336,2.736395088091014,0.44843329895531886,,-0.01591951535402214,0.4759825327510917,0.06991661321359846,0.121923937360179,0.417248100018485,,-0.005441456918426457,0.5217391304347826,0.025668449197860963,0.04892966360856269
1h,brier,gru,128,0.0,1,332,332,3,1.5,0.07,9.411478250450529,19.25791314596048,132,0.03307665693890882,0.5325716566495513,-6.307833328644425,5.033450521508809,1.0723419666332743,0.40962605325274976,,-0.006600504134111951,0.5172413793103449,0.01924310455420141,0.03710575139146568,0.393080511478509,,-0.019050525028117216,0.2222222222222222,0.0016488046166529267,0.003273322422258592
1h,brier,gru,256,0.0,3,332,332,3,1.5,0.1,9.077336621120914,25.069807933272827,181,-0.01925988270234602,0.5752675573247523,6.673524301653089,14.828282169342067,2.013395556787989,0.45676893598836643,,-0.029582012837250593,0.49603174603174605,0.08017960230917255,0.1380452788514633,0.42483743369991916,,-0.009764434378337183,0.5510204081632653,0.032335329341317366,0.06108597285067874
1h,brier,gru,384,0.0,2,332,332,3,1.5,0.12,8.67337752885971,19.29670657229878,126,-0.007840324720199021,0.5656590612428094,1.1712232090571852,11.174392499183083,1.6458399255151166,0.4568753921953944,,-0.002794338714407818,0.44666666666666666,0.08595253367543297,0.1441635287789134,0.4277930800727757,,0.019387738916876618,0.38461538461538464,0.032467532467532464,0.05988023952095807
1h,brier,gru,256,0.1,3,332,332,3,1.5,0.12,8.311364609777833,22.222092084889745,135,-0.013455005398762987,0.5467867393031998,-2.170536768250911,4.419660682499438,0.7405085743228177,0.43946820813646503,,-0.011380893178176477,0.39299610894941633,0.06478511866581142,0.11123348017621146,0.4617269396125459,,0.022851061474985945,0.45454545454545453,0.07523939808481532,0.12910798122065728
1h,brier,gru,256,0.1,1,332,332,3,1.5,0.07,8.110422608058586,20.56234567423232,213,-0.025603547514241765,0.468287381125144,13.573531001029382,20.680092442163623,2.4733080375146925,0.4153940801570514,,-0.005480251452875118,0.6229508196721312,0.024374599101988453,0.046913580246913576,0.43687660771821096,,-0.01370032432709034,0.5416666666666666,0.03058823529411765,0.057906458797327386
1h,brier,gru,512,0.1,1,332,332,3,1.5,0.07,7.974112026912669,22.519956876411683,223,-0.030863576199691156,0.5145760058362598,10.491398649559107,25.786696772176732,2.447485791439982,0.4414230701795098,,-0.010458373914785435,0.4470046082949309,0.062219371391917896,0.10923423423423424,0.4426821341378077,,-0.0017337884828851902,0.38571428571428573,0.05084745762711865,0.08985024958402663
1h,brier,gru,256,0.0,2,332,332,3,1.5,0.12,7.883081617536333,22.14601746710305,158,-0.02762071921991094,0.5625763004716113,0.7203761682305135,10.715797884244038,1.5487131822809452,0.46369420921470667,,-0.0377626472346726,0.3887640449438202,0.11096856959589481,0.17265469061876249,0.449934489190257,,0.0003181780371273035,0.49382716049382713,0.05698005698005698,0.1021711366538953
1h,brier,gru,256,0.0,1,332,332,3,1.5,0.08,7.85480933886815,24.44949027301979,213,-0.038686767094547436,0.490365752423048,7.6840073259271575,20.49618317921751,1.9654635712105697,0.43009371022946036,,-0.01637876048788156,0.47619047619047616,0.04490057729313662,0.082063305978898,0.4481505811866807,,-0.024595039398829677,0.4318181818181818,0.052054794520547946,0.09290953545232274
1h,brier,gru,384,0.5,1,332,332,3,1.5,0.07,7.703665111961947,21.129850973494936,193,-0.019541243437023015,0.4714620401936518,18.871981476590893,30.693808518187993,2.9767935932967675,0.42192499529456046,,-0.004486578267656416,0.45454545454545453,0.03527902501603592,0.06547619047619048,0.4362469166265561,,-0.008942187264159074,0.4523809523809524,0.04,0.0735009671179884
1h,brier,gru,512,0.0,3,332,332,3,1.5,0.09,7.570484349948504,22.01960833469292,130,0.005308500005776651,0.5337127431302672,11.16009890011873,14.512544713737153,2.396182917532636,0.4299160216630833,,-0.024867962498218654,0.5409836065573771,0.042334830019243104,0.07852468768590125,0.40240524485067397,,-0.02916911958990709,0.47368421052631576,0.00897308075772682,0.017612524461839533
1h,brier,gru,128,0.3,2,332,332,3,1.5,0.04,7.488304556944198,18.97836074546695,124,-0.01810876125177585,0.49925556580298114,-12.247493781253414,1.0199220764089745,0.2623469902512512,0.40906831480513633,,-0.06424497214959657,0.5833333333333334,0.01796023091725465,0.03484754200373367,0.39301272725283865,,-0.07208489032700505,0.2,0.0007293946024799417,0.001453488372093023
1h,brier,gru,384,0.1,3,332,332,3,1.5,0.12,7.133629587819861,20.019170096080785,134,-0.008255843287775955,0.5491922490180448,15.30132631285467,17.566214440555484,2.42283718192125,0.458719180226283,,-0.007024206842444869,0.49242424242424243,0.08338678640153944,0.1426220515633571,0.4313982836951036,,0.031686920707415744,0.4166666666666667,0.03067484662576687,0.05714285714285714
1h,brier,gru,512,0.5,3,332,332,3,1.5,0.13,6.853767095068616,17.33174427481121,122,-0.018835466262652867,0.5538938973101806,-1.8416715547638225,6.185424426201647,1.1105635316114468,0.44812407862369563,,-0.007220228999297751,0.40468227424749165,0.07761385503527903,0.1302475780409042,0.43611053491770063,,0.007788519153390294,0.3728813559322034,0.03963963963963964,0.07166123778501629
1h,brier,gru,512,0.5,1,332,332,3,1.5,0.06,6.674898680467602,23.566264649187897,225,-0.020712370682275383,0.4765078628802361,7.3361591497677505,24.46749433094675,2.3347725280713125,0.4222376681170058,,-0.006979852860724334,0.5096153846153846,0.03399615137908916,0.06374022850270596,0.4275349257565872,,-0.0035269391497274594,0.42105263157894735,0.02962962962962963,0.05536332179930796
1h,brier,gru,128,0.1,2,332,332,3,1.5,0.06,5.6844196328944125,20.879592451451966,255,-0.027656433581519035,0.45806531420089064,7.930706148426267,25.770051113112814,2.2733221167608146,0.41667937694228896,,-0.005882985772716509,0.4731182795698925,0.028223220012828735,0.05326876513317191,0.4239046758376009,,-0.00976535098952458,0.4827586206896552,0.030837004405286344,0.05797101449275363
1h,brier,gru,256,0.5,3,332,332,3,1.5,0.08,5.6380922161556,18.47138767275489,198,-0.024666697439445384,0.5379480655907055,6.795546953147836,23.089622965654755,2.2932356224343735,0.4356402133728424,,-0.007435969931355757,0.5384615384615384,0.04939063502245029,0.09048178613396003,0.4469184455391352,,0.010504313474775873,0.6388888888888888,0.047325102880658436,0.08812260536398468
1h,brier,gru,512,0.3,3,332,332,3,1.5,0.11,5.173223627557188,15.413879011864706,118,0.0025773290268547022,0.5473211293193996,22.369403931248126,19.891047294829335,3.069524218987493,0.43238660827550335,,-0.004743376549700251,0.4716981132075472,0.04810776138550353,0.08731082654249127,0.4153741563347608,,0.01589969921186707,0.36363636363636365,0.010796221322537112,0.020969855832241154
