split,model,mr,criterion,sharpe_ratio,calmar_ratio,martin_ratio,total_return,max_drawdown,volatility,winrate,num_trades,final_equity
test,bigru,0.0,base,3.5034592488754615,14.589151177783377,31.347938449521312,52.6604514757065,-0.08932397509536871,0.2467055148829301,0.40476190476190477,84.0,15266.04514757065
test,bigru,0.0575,best_return,2.8809862251800906,8.708503065435712,13.980957314360012,34.81227767520325,-0.09213328795985942,0.2121847851382142,0.3968253968253968,63.0,13481.227767520324
test,bilstm,0.0,best_return,2.0487791297641325,6.577561607579525,9.953709395188397,29.953668943527887,-0.1028479532772475,0.26973330930682593,0.3333333333333333,117.0,12995.366894352788
test,bnh,,bnh,,,,27.71757006148883,,,,,
test,gru,0.0,best_return,3.0789186585303505,10.109094799870345,20.897515737637125,45.1900275994465,-0.10744642799097093,0.2487490048378029,0.38202247191011235,89.0,14519.002759944651
test,gru_cat,0.0,best_return,1.5545213924294152,3.487784465758522,4.3647786714043475,22.503050396460456,-0.14112713311218372,0.28291062636205405,0.31343283582089554,134.0,12250.305039646046
test,lstm,0.0,base,2.4666271761934597,7.436522303390392,20.2723672984823,33.89808304696649,-0.10466174574128362,0.24543763632097873,0.358695652173913,92.0,13389.80830469665
test,lstm,0.0725,best_return,2.0223573918041526,5.52782754242096,10.718170667747982,19.76041048333661,-0.07725530557207994,0.18410982572487436,0.37254901960784315,51.0,11976.041048333662
val,bigru,0.0,base,0.8464584569650988,1.6507842267043022,0.5091392145607311,11.18829513502504,-0.14092030515923282,0.29935524133041214,0.28104575163398693,153.0,11118.829513502504
val,bilstm,0.0,base,0.7964316028453392,1.3929146185903645,0.3276383687760353,10.653791631906117,-0.15863913077816172,0.31040376150611604,0.2787878787878788,165.0,11065.379163190612
val,bnh,,bnh,,,,29.677607083442513,,,,,
val,gru,0.0,base,1.0073631195042936,2.192044651087961,1.7426464703640894,14.199880692651835,-0.13655571078846318,0.30575269242357395,0.2848101265822785,158.0,11419.988069265184
val,gru_cat,0.0,base,0.3355709597457615,0.29414304920428086,-1.7027866589736622,2.9185339954546086,-0.1984483062802771,0.3161065564004616,0.26704545454545453,176.0,10291.853399545462
val,lstm,0.0,base,-0.19775023321543037,-0.5006816252156439,-3.5672732381103276,-4.735749781509224,-0.18223624406432537,0.2833188776132957,0.2534246575342466,146.0,9526.425021849078
